TimeStamp,D1_Commanded_Torque,D1_DC_Bus_Voltage,D2_Motor_Speed,IVT_Result_I
1718634593993.193115,0,517.4,633.466,-441.826
1718634594002.192871,0,517.819,634.466,-465.239
1718634594011.192627,6.57733,517.974,635,-467.039
1718634594020.192383,11.4,517.134,637.795,-658.125
1718634594029.192139,11.4,516.693,645.658,-1066.26
1718634594038.191895,11.4,516.8,661.247,-1480.76
1718634594047.191650,11.7461,516.707,682.781,-1915
1718634594056.191406,12,516.693,703.314,-2342.25
1718634594065.191162,12,516.614,722.382,-2448
1718634594074.190674,11.8847,515.981,732.931,-2553.74
1718634594083.190430,11.8,515.5,722.36,-2632.18
1718634594092.190186,11.8,515.593,680.6,-2703.75
1718634594101.189941,11.8,516.026,620.067,-2543.19
1718634594110.189697,12.146,516.679,567.517,-2116.15
1718634594119.189453,12.1694,516.721,539.811,-1739.76
1718634594128.189209,12,515.888,542.447,-1520.93
1718634594137.188965,5.08138,516.371,557.051,-1299.55
1718634594146.188721,0,517.228,570.981,-1061.51
1718634594155.188477,7.95566,516.8,579.931,-823.465
1718634594164.188232,13.8,517.405,588.911,-1155.26
1718634594173.187988,13.3388,517.774,608.237,-1543.54
1718634594182.187744,13,516.842,631.167,-1655.85
1718634594191.187500,5.50694,516.851,652.375,-1565.38
1718634594200.187256,0,517.507,664.792,-1345.92
1718634594209.187012,0,517.028,669.861,-978.216
1718634594218.186768,7.03095,517.065,672,-690.983
1718634594227.186523,12.2,517.321,673.861,-933.527
1718634594236.186279,12.2,516.628,679.256,-1176.07
1718634594245.186035,12.2,516.06,686.721,-1561.05
1718634594254.185791,12.661,516.319,697.511,-1960.19
1718634594263.185303,12.6543,516.288,701.745,-2228.19
1718634594272.185059,12.4,515.7,684.05,-2436.53
1718634594281.184814,12.2848,516.397,645.216,-2444.01
1718634594290.184570,12.2,516.317,600.867,-2220.36
1718634594299.184326,12.3152,515.207,572.096,-1987.87
1718634594308.184082,12.4,515.611,563.465,-1727.78
1718634594317.183838,11.824,516.386,573.297,-1475.22
1718634594326.183594,11.4,516.182,590.508,-1584.12
1718634594335.183350,12.3215,516.118,610.085,-1693.02
1718634594344.183105,12.5393,516.507,632.831,-1845.32
1718634594353.182861,12.2,515.889,656.478,-2008.6
1718634594362.182617,12.2,515.997,678.506,-2135.18
1718634594371.182373,12.2,516.196,695.294,-2219.5
1718634594380.182129,12.2,515.825,704.141,-2313.78
1718634594389.181885,12.2,515.364,692.707,-2426.27
1718634594398.181641,12.6606,514.818,660.163,-2499.35
1718634594407.181396,13,515.579,618.274,-2311.65
1718634594416.181152,13,516.225,585.992,-2123.94
1718634594425.180908,13.1151,517.297,572.394,-1903.45
1718634594434.180664,13.2,517.589,580.503,-1674.67
1718634594443.180420,13.2,515.978,597.754,-1712.7
1718634594452.179932,13.2,514.939,620.611,-1872.44
1718634594461.179688,13.3151,515.1,643.753,-2031.24
1718634594470.179443,13.4,514.868,665.681,-2188.95
1718634594479.179199,14.4358,515.343,685.43,-2351.76
1718634594488.178955,13.934,515.968,699.572,-2548.33
1718634594497.178711,13,515.514,696.714,-2739.77
